Velocity [m/s];Delta_P1 [Pa];Gs [kg/m2s]
6.857065;76.388988;41.21
6.818375;75.484757;41.21
6.775638;74.597536;41.21
6.727922;73.669989;41.21
6.683098;72.776721;41.21
6.683098;71.746645;41.21
6.683098;70.743877;41.21
6.669882;70.108176;41.21
6.66194;70.108176;41.21
6.66194;70.108176;41.21
6.669882;70.108176;41.21
6.672316;70.108176;41.21
6.672869;71.391994;41.21
6.673374;72.807724;41.21
6.690872;72.89198;41.21
6.690872;73.231435;41.21
6.692381;73.611551;41.21
6.763626;74.413483;41.21
6.84585;76.046403;41.21
6.857491;77.505761;41.21
6.857491;78.034201;41.21
6.857491;78.04397;41.21
6.857491;78.04397;41.21
6.894814;78.04397;41.21
6.892095;78.04397;41.21
6.892095;78.04397;41.21
6.863332;77.89985;41.21
6.84473;77.484681;41.21
6.827089;76.013539;41.21
6.810897;74.325601;41.21
6.806316;73.60522;41.21
6.799806;72.824074;41.21
6.799806;71.368197;41.21
6.77469;70.439904;41.21
6.753143;70.439904;41.21
6.738856;70.439904;41.21
6.716013;70.439904;41.21
6.69703;70.439904;41.21
6.69703;70.912154;41.21
6.69703;71.471585;41.21
6.69703;71.934339;41.21
6.69703;72.52216;41.21
6.697709;73.380017;41.21
6.698812;74.072822;41.21
6.698812;74.288074;41.21
6.698812;74.833927;41.21
6.698812;74.833927;41.21
6.698812;74.833927;41.21
6.68462;74.833927;41.21
6.68462;74.820644;41.21
6.68462;74.820644;41.21
6.68462;74.376011;41.21
6.68462;74.376011;41.21
6.713292;74.376011;41.21
6.805045;74.376011;41.21
6.850826;74.376011;41.21
6.868524;74.527755;41.21
6.877353;75.142699;41.21
6.877353;75.142699;41.21
6.877353;75.142699;41.21
6.868524;75.142699;41.21
6.850826;75.142699;41.21
6.836423;74.784139;41.21
6.82374;74.010525;41.21
6.795167;73.974712;41.21
6.795167;73.91985;41.21
6.795167;73.338467;41.21
6.795167;72.799855;41.21
6.789299;72.384959;41.21
6.776603;71.519649;41.21
6.770665;70.262072;41.21
6.762602;69.055277;41.21
6.762602;68.174979;41.21
6.762602;67.62905;41.21
6.762602;67.616964;41.21
6.732706;67.507638;41.21
6.716033;67.507638;41.21
6.703205;67.507638;41.21
6.688725;67.507638;41.21
6.688725;67.569188;41.21
6.688725;68.167017;41.21
6.688725;69.292738;41.21
6.688725;69.979473;41.21
6.697818;70.17635;41.21
6.71583;70.36602;41.21
6.73288;70.668925;41.21
6.738035;70.932489;41.21
6.745319;71.04002;41.21
6.745319;71.293714;41.21
6.745319;71.293714;41.21
6.745319;71.189151;41.21
6.740242;71.189151;41.21
6.732951;71.189151;41.21
6.732082;70.874252;41.21
6.724217;69.937084;41.21
6.715994;69.937084;41.21
6.710172;69.937084;41.21
6.705769;69.937084;41.21
6.705769;69.937084;41.21
6.705769;70.899928;41.21
6.705769;73.290597;41.21
6.719926;74.787525;41.21
6.736222;76.366882;41.21
6.743219;77.709995;41.21
6.743219;77.977507;41.21
6.74369;78.301949;41.21
6.748939;78.664325;41.21
6.75238;78.920558;41.21
6.754841;79.245492;41.21
6.755892;79.245492;41.21
6.755892;79.245492;41.21
6.76178;78.920558;41.21
6.771272;78.405961;41.21
6.779715;77.907779;41.21
6.786183;77.478482;41.21
6.795445;77.107825;41.21
6.81853;76.882377;41.21
6.835222;76.721438;41.21
6.851647;76.555096;41.21
6.858302;76.255483;41.21
6.858302;75.674489;41.21
6.858302;75.172915;41.21
6.858302;75.041247;41.21
6.858302;74.494855;41.21
6.833172;73.624937;41.21
6.781784;72.547903;41.21
6.736862;71.767317;41.21
6.714223;71.529268;41.21
6.711711;71.235341;41.21
6.711711;71.235341;41.21
6.711711;71.235341;41.21
6.711711;71.235341;41.21
6.711711;71.621505;41.21
6.733404;71.749046;41.21
6.747833;72.208956;41.21
6.760491;73.046178;41.21
6.781206;74.700504;41.21
6.808808;77.191569;41.21
6.829914;78.468957;41.21
6.8382;78.468957;41.21
6.8382;78.468957;41.21
9.812473;170.025839;36.63
9.806588;169.83913;36.63
9.797748;169.641463;36.63
9.788001;169.583235;36.63
9.781599;169.023896;36.63
9.781599;166.63516;36.63
9.781599;164.922373;36.63
9.791354;164.743714;36.63
9.796369;164.557062;36.63
9.810035;164.211952;36.63
9.834632;163.981527;36.63
9.840926;163.777558;36.63
9.840926;163.255782;36.63
9.84435;162.678245;36.63
9.846937;162.367521;36.63
9.846937;162.189392;36.63
9.848768;161.066458;36.63
9.879374;159.908964;36.63
9.895661;159.448355;36.63
9.895661;158.91442;36.63
9.895661;158.344072;36.63
9.895661;157.880846;36.63
9.895661;157.507853;36.63
9.895661;157.307167;36.63
9.895661;157.284922;36.63
9.897881;156.715267;36.63
9.897881;155.889557;36.63
9.899499;155.520932;36.63
9.909791;155.302516;36.63
9.909791;155.302516;36.63
9.909791;154.561303;36.63
9.909791;153.216603;36.63
9.909791;151.830255;36.63
9.888901;150.912461;36.63
9.8724;150.488187;36.63
9.8627;149.982539;36.63
9.83722;149.416099;36.63
9.803347;148.951464;36.63
9.767976;147.567798;36.63
9.739748;146.11191;36.63
9.739748;146.11191;36.63
9.739748;146.11191;36.63
9.739748;146.11191;36.63
9.739748;146.11191;36.63
9.74444;147.547671;36.63
9.759426;149.711254;36.63
9.765522;150.435868;36.63
9.784069;151.366214;36.63
9.811127;152.298434;36.63
9.830104;152.651728;36.63
9.834708;153.374495;36.63
9.837135;155.113659;36.63
9.837135;156.330333;36.63
9.837135;156.712137;36.63
9.837135;157.056232;36.63
9.834057;158.151339;36.63
9.820273;159.137721;36.63
9.803231;159.137721;36.63
9.784276;159.440829;36.63
9.755461;159.783618;36.63
9.732993;160.01927;36.63
9.730373;160.244407;36.63
9.724778;160.423052;36.63
9.724778;160.965749;36.63
9.724778;162.60926;36.63
9.724778;163.995568;36.63
9.73014;164.308419;36.63
9.73445;165.900123;36.63
9.7473;168.162324;36.63
9.775506;170.796687;36.63
9.791166;172.454889;36.63
9.791267;172.86308;36.63
9.791267;173.397228;36.63
9.791267;173.397228;36.63
9.792407;173.818122;36.63
9.792407;173.659627;36.63
9.791267;173.392827;36.63
9.790352;173.392827;36.63
9.788553;173.045784;36.63
9.786047;172.838642;36.63
9.783687;172.838642;36.63
9.783687;172.640891;36.63
9.785292;171.478376;36.63
9.786194;170.559207;36.63
9.786194;169.985897;36.63
9.827498;169.48659;36.63
9.866208;169.380223;36.63
9.874798;168.797256;36.63
9.88509;167.15433;36.63
9.88509;165.977508;36.63
9.88509;165.70673;36.63
9.88509;165.078238;36.63
9.88509;163.769591;36.63
9.877524;162.79404;36.63
9.857721;162.656181;36.63
9.82513;162.593577;36.63
